store_name,Mean,Sum,Max,Cluster
LI PISMI GAIMOI ,87.0,87.0,87.0,bronze
LIEMAMIMU IU PRUSEM,87.0323076923077,1131.42,171.4,ouro
LIFM ,131.60000000000005,2237.2000000000007,169.8,prata
LILI CISRUMACS ,95.2011965811965,11138.53999999999,174.8,prata
LIMI EU FAMI PASU ,42.98,42.98,42.98,bronze
LIS RUS ,68.68683529411764,116767.61999999998,172.0,ouro
LIS URPIMIOUS ,45.98235294117647,11725.5,138.0,ouro
LIVAIM ,34.08121085594977,16324.89999999994,128.2,ouro
LOI CISROMACIS ,61.92037037037039,3343.700000000001,173.5,ouro
LU EUPAIMAR ,78.11222222222224,3515.0500000000006,164.2,ouro
LU PUMAM RICIRIMS ,65.78481012658227,5197.0,120.0,bronze
LUCITA ,55.33407140144231,145694.6099999976,175.0,ouro
LUEMIS MOIM ,89.99,179.98,89.99,bronze
LUI CISRUMACIS ,77.88653846153848,2025.0500000000004,173.4,ouro
LUPI ,85.60695852534562,18576.71,171.6,ouro
LUPIMUIM ,59.29174316406069,242858.9799999926,174.2,ouro
LUVA S ,121.9,609.5,169.9,prata
LUVAES ,115.07090909090911,1265.7800000000002,170.95,prata
LUVAS ,65.90666666666667,197.72,89.9,bronze
MAP MIP ,102.23000000000006,3782.510000000002,169.9,prata
MAR ,20.0,60.0,20.0,bronze
MATATA ,61.0904,7636.3,163.0,ouro
META EASSU PURUMACU ,96.48872727272729,5306.880000000001,162.62,prata
MIA ,74.3076923076923,966.0,147.0,ouro
MIAOIMG ,31.016666666666662,744.3999999999999,124.5,bronze
MICI PULA,46.43658081705203,52287.590000000586,168.6,ouro
MIMAMI SAMU VAMUIGU ,97.08695652173913,8932.0,173.0,prata
MIOURIOU ,117.1,468.4,146.1,prata
MIRMU SZIPUAMG ,70.19324324324327,2597.150000000001,164.85,ouro
